Day,Weather_State
1,Sunny
2,Sunny
3,Sunny
4,Sunny
5,Sunny
6,Rainy
7,Windy
8,Rainy
9,Rainy
10,Rainy
11,Rainy
12,Rainy
13,Rainy
14,Rainy
15,Rainy
16,Rainy
17,Rainy
18,Rainy
19,Rainy
20,Windy
21,Windy
22,Rainy
23,Windy
24,Windy
25,Windy
26,Rainy
27,Rainy
28,Rainy
29,Rainy
30,Windy
31,Sunny
32,Rainy
33,Windy
34,Windy
35,Rainy
36,Rainy
37,Rainy
38,Windy
39,Sunny
40,Windy
41,Sunny
42,Rainy
43,Rainy
44,Rainy
45,Rainy
46,Rainy
47,Rainy
48,Rainy
49,Rainy
50,Rainy
51,Rainy
52,Rainy
53,Rainy
54,Rainy
55,Sunny
56,Sunny
57,Sunny
58,Sunny
59,Rainy
60,Rainy
61,Rainy
62,Sunny
63,Sunny
64,Sunny
65,Sunny
66,Rainy
67,Windy
68,Windy
69,Windy
70,Windy
71,Windy
72,Windy
73,Rainy
74,Sunny
75,Sunny
76,Sunny
77,Sunny
78,Windy
79,Windy
80,Windy
81,Windy
82,Sunny
83,Sunny
84,Sunny
85,Windy
86,Windy
87,Windy
88,Rainy
89,Rainy
90,Rainy
91,Rainy
92,Rainy
93,Rainy
94,Windy
95,Windy
96,Windy
97,Windy
98,Rainy
99,Rainy
100,Sunny
101,Windy
102,Windy
103,Sunny
104,Sunny
105,Sunny
106,Sunny
107,Sunny
108,Sunny
109,Sunny
110,Sunny
111,Windy
112,Rainy
113,Rainy
114,Rainy
115,Rainy
116,Sunny
117,Windy
118,Windy
119,Sunny
120,Sunny
121,Sunny
122,Rainy
123,Rainy
124,Windy
125,Windy
126,Windy
127,Windy
128,Windy
129,Rainy
130,Sunny
131,Rainy
132,Rainy
133,Rainy
134,Sunny
135,Windy
136,Windy
137,Windy
138,Windy
139,Sunny
140,Rainy
141,Rainy
142,Rainy
143,Rainy
144,Rainy
145,Sunny
146,Sunny
147,Sunny
148,Sunny
149,Rainy
150,Rainy
151,Rainy
152,Sunny
153,Sunny
154,Sunny
155,Sunny
156,Sunny
157,Sunny
158,Sunny
159,Sunny
160,Sunny
161,Sunny
162,Sunny
163,Sunny
164,Sunny
165,Windy
166,Rainy
167,Rainy
168,Rainy
169,Windy
170,Windy
171,Windy
172,Rainy
173,Rainy
174,Rainy
175,Windy
176,Rainy
177,Rainy
178,Rainy
179,Rainy
180,Rainy
181,Rainy
182,Windy
183,Sunny
184,Windy
185,Windy
186,Windy
187,Windy
188,Rainy
189,Rainy
190,Rainy
191,Rainy
192,Rainy
193,Rainy
194,Rainy
195,Sunny
196,Sunny
197,Windy
198,Sunny
199,Sunny
200,Windy
201,Rainy
202,Sunny
203,Windy
204,Rainy
205,Rainy
206,Rainy
207,Rainy
208,Rainy
209,Rainy
210,Rainy
211,Sunny
212,Sunny
213,Rainy
214,Rainy
215,Rainy
216,Sunny
217,Windy
218,Sunny
219,Rainy
220,Rainy
221,Rainy
222,Sunny
223,Sunny
224,Sunny
225,Rainy
226,Rainy
227,Rainy
228,Rainy
229,Sunny
230,Sunny
231,Windy
232,Windy
233,Windy
234,Sunny
235,Sunny
236,Sunny
237,Sunny
238,Windy
239,Windy
240,Sunny
241,Sunny
242,Sunny
243,Sunny
244,Sunny
245,Windy
246,Windy
247,Sunny
248,Sunny
249,Sunny
250,Sunny
251,Sunny
252,Sunny
253,Rainy
254,Rainy
255,Rainy
256,Sunny
257,Windy
258,Windy
259,Windy
260,Windy
261,Rainy
262,Sunny
263,Windy
264,Windy
265,Windy
266,Rainy
267,Windy
268,Sunny
269,Windy
270,Sunny
271,Sunny
272,Rainy
273,Rainy
274,Windy
275,Rainy
276,Rainy
277,Rainy
278,Rainy
279,Rainy
280,Rainy
281,Rainy
282,Windy
283,Windy
284,Sunny
285,Sunny
286,Sunny
287,Windy
288,Rainy
289,Rainy
290,Rainy
291,Rainy
292,Rainy
293,Windy
294,Sunny
295,Sunny
296,Rainy
297,Rainy
298,Rainy
299,Rainy
300,Rainy
301,Sunny
302,Windy
303,Windy
304,Rainy
305,Rainy
306,Rainy
307,Rainy
308,Rainy
309,Sunny
310,Rainy
311,Sunny
312,Windy
313,Windy
314,Windy
315,Windy
316,Sunny
317,Windy
318,Windy
319,Sunny
320,Sunny
321,Windy
322,Rainy
323,Sunny
324,Rainy
325,Sunny
326,Sunny
327,Rainy
328,Rainy
329,Sunny
330,Rainy
331,Sunny
332,Rainy
333,Rainy
334,Windy
335,Windy
336,Rainy
337,Sunny
338,Sunny
339,Rainy
340,Rainy
341,Rainy
342,Windy
343,Windy
344,Windy
345,Windy
346,Windy
347,Rainy
348,Sunny
349,Sunny
350,Sunny
351,Sunny
352,Windy
353,Windy
354,Rainy
355,Rainy
356,Sunny
357,Sunny
358,Windy
359,Windy
360,Windy
361,Windy
362,Sunny
363,Sunny
364,Sunny
365,Sunny
366,Sunny
367,Sunny
368,Sunny
369,Rainy
370,Rainy
371,Sunny
372,Sunny
373,Rainy
374,Windy
375,Sunny
376,Sunny
377,Sunny
378,Sunny
379,Sunny
380,Sunny
381,Rainy
382,Windy
383,Windy
384,Windy
385,Windy
386,Windy
387,Windy
388,Windy
389,Windy
390,Rainy
391,Windy
392,Rainy
393,Rainy
394,Rainy
395,Rainy
396,Rainy
397,Rainy
398,Rainy
399,Rainy
400,Windy
401,Windy
402,Windy
403,Windy
404,Windy
405,Rainy
406,Windy
407,Windy
408,Windy
409,Windy
410,Sunny
411,Sunny
412,Rainy
413,Windy
414,Sunny
415,Sunny
416,Sunny
417,Sunny
418,Sunny
419,Sunny
420,Rainy
421,Rainy
422,Rainy
423,Rainy
424,Rainy
425,Windy
426,Windy
427,Windy
428,Sunny
429,Sunny
430,Rainy
431,Windy
432,Windy
433,Windy
434,Windy
435,Rainy
436,Rainy
437,Rainy
438,Rainy
439,Windy
440,Windy
441,Rainy
442,Windy
443,Rainy
444,Rainy
445,Sunny
446,Windy
447,Sunny
448,Rainy
449,Rainy
450,Windy
451,Windy
452,Rainy
453,Windy
454,Windy
455,Windy
456,Windy
457,Sunny
458,Rainy
459,Rainy
460,Rainy
461,Rainy
462,Rainy
463,Rainy
464,Rainy
465,Rainy
466,Rainy
467,Rainy
468,Rainy
469,Windy
470,Sunny
471,Sunny
472,Sunny
473,Sunny
474,Sunny
475,Sunny
476,Sunny
477,Windy
478,Sunny
479,Sunny
480,Windy
481,Sunny
482,Sunny
483,Sunny
484,Sunny
485,Rainy
486,Sunny
487,Windy
488,Windy
489,Sunny
490,Sunny
491,Sunny
492,Sunny
493,Sunny
494,Sunny
495,Sunny
496,Sunny
497,Sunny
498,Sunny
499,Sunny
500,Sunny
501,Sunny
502,Sunny
503,Sunny
504,Sunny
505,Sunny
506,Sunny
507,Sunny
508,Sunny
509,Sunny
510,Sunny
511,Sunny
512,Sunny
513,Sunny
514,Rainy
515,Rainy
516,Windy
517,Rainy
518,Rainy
519,Rainy
520,Rainy
521,Rainy
522,Sunny
523,Sunny
524,Sunny
525,Rainy
526,Windy
527,Sunny
528,Windy
529,Windy
530,Windy
531,Windy
532,Windy
533,Sunny
534,Sunny
535,Sunny
536,Sunny
537,Rainy
538,Rainy
539,Rainy
540,Windy
541,Windy
542,Rainy
543,Sunny
544,Sunny
545,Sunny
546,Sunny
547,Sunny
548,Windy
549,Windy
550,Sunny
551,Sunny
552,Sunny
553,Sunny
554,Sunny
555,Rainy
556,Sunny
557,Sunny
558,Sunny
