height_cm,weight_kg,label,cluster
175.0,112.8,-1,1
168.6,83.5,-1,1
176.5,73.4,-1,1
185.2,94.5,-1,1
167.7,61.5,1,0
167.7,90.8,-1,1
185.8,55.2,1,1
177.7,69.7,1,1
165.3,79.7,-1,0
175.4,98.6,-1,1
165.4,72.2,-1,0
165.3,51.4,1,0
172.4,75.0,1,1
150.9,55.3,1,0
152.8,53.8,1,0
164.4,60.5,1,0
159.9,61.1,1,0
173.1,52.5,1,0
160.9,65.5,1,0
155.9,70.6,1,0
184.7,121.0,-1,1
167.7,84.9,-1,1
170.7,91.3,-1,1
155.8,68.6,-1,0
164.6,39.3,1,0
171.1,78.1,1,1
158.5,68.3,-1,0
173.8,89.6,-1,1
164.0,76.4,-1,0
167.1,71.8,1,0
164.0,98.8,-1,1
188.5,101.6,-1,1
169.9,78.0,-1,1
159.4,70.5,-1,0
178.2,80.6,1,1
157.8,62.5,1,0
172.1,47.4,1,0
150.4,44.1,1,0
156.7,57.1,1,0
172.0,77.5,1,1
177.4,55.1,1,0
171.7,64.5,1,0
168.8,60.2,-1,0
167.0,71.7,1,0
155.2,66.8,-1,0
162.8,56.0,1,0
165.4,63.1,1,0
180.6,68.2,1,1
173.4,63.6,1,0
152.4,53.8,1,0
173.2,98.7,-1,1
166.1,56.4,1,0
163.2,98.6,-1,1
176.1,59.2,1,0
180.3,99.9,-1,1
179.3,76.0,1,1
161.6,47.1,1,0
166.9,87.5,-1,1
173.3,81.1,1,1
179.8,81.6,1,1
165.2,63.7,1,0
168.1,65.1,1,0
158.9,60.5,1,0
158.0,40.0,1,0
178.1,55.5,1,0
183.6,92.2,-1,1
169.3,87.7,-1,1
180.0,107.5,-1,1
173.6,58.0,1,0
163.5,74.0,-1,0
173.6,43.7,1,0
185.4,73.5,1,1
169.6,90.5,-1,1
185.6,80.6,1,1
145.0,51.5,1,0
178.2,83.9,1,1
170.9,95.5,-1,1
167.0,65.6,1,0
170.9,74.3,1,0
150.1,76.9,-1,0
167.8,70.8,1,0
173.6,52.7,1,0
184.8,113.4,-1,1
164.8,88.5,-1,1
161.9,45.9,1,0
165.0,70.0,-1,0
179.2,75.0,1,1
173.3,95.2,-1,1
164.7,71.7,1,0
175.1,84.3,1,1
171.0,76.5,1,1
179.7,66.8,1,1
163.0,91.1,1,1
166.7,52.1,1,0
166.1,60.9,1,0
155.4,56.6,1,0
173.0,55.3,1,0
172.6,101.6,1,1
170.1,72.3,1,0
167.7,80.0,-1,0
155.8,46.8,1,0
165.8,80.5,-1,0
166.6,78.5,1,0
162.0,80.4,-1,0
168.4,103.3,-1,1
174.0,65.6,1,0
188.9,85.2,1,1
171.7,54.4,1,0
172.6,77.2,1,1
169.3,83.0,-1,1
150.8,61.8,-1,0
169.7,100.4,-1,1
170.6,77.0,1,1
194.6,89.0,1,1
168.1,52.1,1,0
173.0,90.4,-1,1
169.7,64.9,1,0
158.3,72.3,-1,0
181.4,69.0,-1,1
177.5,106.2,-1,1
177.9,91.2,-1,1
160.9,80.1,-1,0
184.0,92.5,-1,1
156.0,51.0,1,0
175.9,75.2,1,1
191.9,69.3,-1,1
160.1,66.9,1,0
